original_img_file,new_img_file,phrase
3406.jpg,0.jpg,SHOE REPAIR shop
3406.jpg,1.jpg,A black van printed with a UPS logo
4097.jpg,2.jpg,WENDG'S shop
4097.jpg,3.jpg,TACO BELL restaurant
4097.jpg,4.jpg,A store on the right of the TACO BELL
2887.jpg,5.jpg,A white van with orange Agility
2887.jpg,6.jpg,A white van on the left of the van with Agility
259.jpg,7.jpg,A VETERINARY HOSPITAL on the first floor
259.jpg,8.jpg,A building on the right of the hospital
3911.jpg,9.jpg,A white van with EMERGENCY SERVICE
3911.jpg,10.jpg,A black car on the left of the white van with 24 HOURS
3973.jpg,11.jpg,white van printed with Purple Fed and orange Ex
3973.jpg,12.jpg,A yellow truck on the left of the white van with FedEX and Express
3862.jpg,13.jpg,A white car with FedEX
1825.jpg,14.jpg,the building with Amalgamated Bank of New York on the first floor 
1825.jpg,15.jpg,A light yellow car with NYC TAXI
1825.jpg,16.jpg,A sliver car near the yellow cab with NYC TAXI
2889.jpg,17.jpg,A truck with 1-800-693-6263
2889.jpg,18.jpg,A powder blue car after the car with 1-800-693-6263
494.jpg,19.jpg,A store with NAILS & SPA 
494.jpg,20.jpg,A store of Little FOLKS
1944.jpg,21.jpg,the InVite HEALTH
1944.jpg,22.jpg,the Yoqua Bar
1944.jpg,23.jpg,the shop on the left of the invite health shop
1128.jpg,24.jpg,Universal News Cafe  
1128.jpg,25.jpg,The store named Cohen's fashion optic
1128.jpg,26.jpg,The store named all access dental 
799.jpg,27.jpg,The yellow school bus
3106.jpg,28.jpg,"Vehicles marked ""WEXLER"""
3106.jpg,29.jpg,The deep green car in front of the vehicle marked WEXLER
3106.jpg,30.jpg,CHICKEN Kitchen
3106.jpg,31.jpg,HALE shop on the right of CHICKEN Kitchen
742.jpg,32.jpg,BAR RESTAURANT
1448.jpg,33.jpg,The store named SHOE REPAIR
1448.jpg,34.jpg,The store named LOCKSMITH
1448.jpg,35.jpg,The EDWARD PARK store is on the left of SHOE REPAIR
1470.jpg,36.jpg,"The truck marked ""M"" stopped in front of the SHOE REPAIR store"
3145.jpg,37.jpg,The store named REALTY INC
1168.jpg,38.jpg,UNLIMITED Jeans store
4329.jpg,39.jpg,Shop under the FOURSEASON awning
4445.jpg,40.jpg,Blue citi bank to the left of the street lamp
3778.jpg,41.jpg,Duane reade shop on the left side of the street lamp
930.jpg,42.jpg,AERUS store
930.jpg,43.jpg,The store with STEEL GYM brand
4149.jpg,44.jpg,The left one van with ups Worldwide Services logo
4149.jpg,45.jpg,The right one van with ups logo
2198.jpg,46.jpg,The truck with WhiteRose logo
2198.jpg,47.jpg,The red car on the right of the truck with WhiteRose logo
274.jpg,48.jpg,The store with World @ Wireless brand
2286.jpg,49.jpg,The store with CLEANER INC. brand
2286.jpg,50.jpg,The store with landmark wines brand
2286.jpg,51.jpg,The store with psych readings brand on the 2nd floor
3971.jpg,52.jpg,The building with SAVOY brand
3591.jpg,53.jpg,The red building with RadioShack shop
2641.jpg,54.jpg,The store with spabelles brand
2641.jpg,55.jpg,The store with SUBWAY brand
2174.jpg,56.jpg,The store with OMG brand
2174.jpg,57.jpg,The store with Benjamin Moore brand
2174.jpg,58.jpg,The store with SUBWAY brand
1666.jpg,59.jpg,The store with TOASTIES brand
1666.jpg,60.jpg,The restaurant with PORTER brand
2038.jpg,61.jpg,The store with Benjamin Moore brand
2038.jpg,62.jpg,The store with LEVI'S brand
2974.jpg,63.jpg,The red building with RESTIVO brand
571.jpg,64.jpg,The store with KOVE BROS brand
571.jpg,65.jpg,The blue building of KOVE BROS shop
1326.jpg,66.jpg,The four-storey building of KOVE BROS HARDWARE store
1326.jpg,67.jpg,The store with IL BASTARDO brand
3788.jpg,68.jpg,The building with KOVE BROS. brand
777.jpg,69.jpg,The store called HEALTH IS WEALTH 
2936.jpg,70.jpg,The store with LAUNDERCENTER brand
2936.jpg,71.jpg,The store with SHOE REPAIR sign
1942.jpg,72.jpg,the shop named bar Veloce
1942.jpg,73.jpg,the shop named LAUNDERCENTER
471.jpg,74.jpg,Building of 21 engine 21
471.jpg,75.jpg,Building with 242
1450.jpg,76.jpg,Building number 622
3161.jpg,77.jpg,Store with red sunshade of seton hotel
4018.jpg,78.jpg,Store with Peter Dillons pub
936.jpg,79.jpg,shop named Washington Mutual
2603.jpg,80.jpg,shop named Starbucks coffee
4194.jpg,81.jpg,shop named blooms cafe
3860.jpg,82.jpg,120 DOMENICO shop
3860.jpg,83.jpg,concord hair design studio shop
73.jpg,84.jpg,Toshi shop
1532.jpg,85.jpg,RDS & BAR shop
1532.jpg,86.jpg,The CLEANERS shop with red signboard
3816.jpg,87.jpg,FORUM shop
3816.jpg,88.jpg,NAILS SP shop
3816.jpg,89.jpg,A shop whose sign says Pancrama
459.jpg,90.jpg,FORUM Brand shop
459.jpg,91.jpg,A shop with sign of CUSTOM FRAMING
609.jpg,92.jpg,DRYDEN GALLERY shop
609.jpg,93.jpg,DELI shop
520.jpg,94.jpg,A building whose sign says 24 hr. parking
3119.jpg,95.jpg,24 hr. parking house
3119.jpg,96.jpg,Apartment building above the 24 hr. parking lot
2737.jpg,97.jpg,gothic cabinet craft shop
2136.jpg,98.jpg,gothic cabinet shop
2136.jpg,99.jpg, The FURNITURE ANNEX store on the left of gothic cabinet
4519.jpg,100.jpg,"99 miles to philly, an old style cheesesteaks shop"
4519.jpg,101.jpg,The MOROCCO store on the right
4519.jpg,102.jpg,"BLUE BURGER, near 99 miles to philly"
4519.jpg,103.jpg,The white bus with a label of PAQUETAZO
4519.jpg,104.jpg,The black car outside the 99 miles to philly store
4155.jpg,105.jpg,The red tall building behind the WHO BUT truck
3556.jpg,106.jpg,CHASE store on the right side of RadioShack
3556.jpg,107.jpg,RadioShack store on the left side of CHASE
2184.jpg,108.jpg,WACHOVIA store on the first floor
2765.jpg,109.jpg,The store named IRIS NAIL
2765.jpg,110.jpg,The store at 799
2765.jpg,111.jpg,The store named BAG HOUS
1292.jpg,112.jpg,BON VIVANT DINER store at 820
1292.jpg,113.jpg,BROADWAY SPA store at 818
1492.jpg,114.jpg,the BON VIVANT DINER
1492.jpg,115.jpg,The store with red plaque labeled 18 on the left
1492.jpg,116.jpg,The store named LIFESTYLE SALON
2946.jpg,117.jpg,The corporation of SOLAS
2946.jpg,118.jpg,The house with NO PARKING sign on the door
1249.jpg,119.jpg,The truck with the TEL: (917)696-6155
1249.jpg,120.jpg,The truck on the left with the number: 112257-4800
402.jpg,121.jpg,The corporation of Manhattan Mini Storage
1608.jpg,122.jpg,The corporation of Manhattan Mini Storage
1608.jpg,123.jpg,The tall building on the right of Manhattan Mini Storage
1676.jpg,124.jpg,FedEx Express Truck
1135.jpg,125.jpg,FedEx Express Truck behind the yellow taxi
1135.jpg,126.jpg,The silver car on the left side of FedEx Express Truck
4159.jpg,127.jpg,The book standing upright named HIDDEN FIGURES
4159.jpg,128.jpg,The book named the immortal life of Henrietta lacks
4159.jpg,129.jpg,a novel of charlescon
4159.jpg,130.jpg,The book named hidden figures is lying flat
1491.jpg,131.jpg,The book named KING EDWARD
3184.jpg,132.jpg,The building named OYO TOWNHOUSE
3184.jpg,133.jpg,The building on the left of building of OYO
442.jpg,134.jpg,Clock above the LONDON
442.jpg,135.jpg,Clock above the TOKYO
442.jpg,136.jpg,Clock above the NEW YORK
442.jpg,137.jpg,Clock above the LOS ANGELES
1358.jpg,138.jpg,Clock below the NEW YORK
1358.jpg,139.jpg,Clock for LONDON time
1358.jpg,140.jpg,Clock for TOKYO time
1504.jpg,141.jpg,The book named THE DAWN OF EVERYTHING
1504.jpg,142.jpg,The book named NATASHA BROWN ASSEMBLY
1564.jpg,143.jpg,HSBC Building
1564.jpg,144.jpg,The building on the left of HSBC building
4098.jpg,145.jpg,A white book with PHOTOREALISM
4098.jpg,146.jpg,A book of The Artist In His Studio
3612.jpg,147.jpg,A viridian green book with microeconomics
3612.jpg,148.jpg,A permanent red book with Calculus with Applications
3612.jpg,149.jpg,A cobalt blue book with Linear Algebra
2803.jpg,150.jpg,A book by Ben Elton 
2878.jpg,151.jpg,The clock above the label ISTANBUL
2878.jpg,152.jpg,The clock of TOKYO
2878.jpg,153.jpg,The clock showing Paris time
1504.jpg,154.jpg,A blue lake book with The Sense of Movement
1504.jpg,155.jpg,A book with orange GENERAL ECOLOGY
1762.jpg,156.jpg,The building with white COLUMBIA WHARF in orange yellow background
1762.jpg,157.jpg,The building connected to the right side of COLUMBIA WHARF
2111.jpg,158.jpg,the book name is Texas Science
695.jpg,159.jpg,the book on the right of Francois Xavier & Claude
695.jpg,160.jpg,A book of pictures named THE ART OF OUTDOOR LIVING
1078.jpg,161.jpg,a book near the Richard AVEDON
1078.jpg,162.jpg,a book near the Cecil Beaton
4081.jpg,163.jpg,a blue book on the right of DANTE's
4081.jpg,164.jpg,the book on the right of GRAVITY's RAINBOW
4081.jpg,165.jpg,the book on the left of THE MOVEMENT
4081.jpg,166.jpg,a book printed RULE BRITANNIA
1787.jpg,167.jpg,the book named THE CRITICAL TRADITION
2803.jpg,168.jpg,the book above Ben Elton
2803.jpg,169.jpg,the book above RUSSELL BRAND
2803.jpg,170.jpg,The second book above MESSIANIC
2803.jpg,171.jpg,A book on the top of CLASSICAL WORLD
1818.jpg,172.jpg,HSBC building
1818.jpg,173.jpg,the left building near HSBC
1818.jpg,174.jpg,the white short building near HSBC
1680.jpg,175.jpg,OYO TOWNHOUSE
1680.jpg,176.jpg,The brown building on the right of  OYO TOWNHOUSE
2298.jpg,177.jpg,Duffel bag marked OC
2298.jpg,178.jpg,the Db bag on the right of OC bag
484.jpg,179.jpg,A building with 1818 sign
484.jpg,180.jpg,the building on the left of 1818 sign
1005.jpg,181.jpg,OYO TOWNHOUSE
1005.jpg,182.jpg,the house on the left of oyo towenhouse
1642.jpg,183.jpg,OYO TOWNHOUSE
4081.jpg,184.jpg,The first book to the right of the book named DAPHNE DU MAURIER
86.jpg,185.jpg,The book named R.CRUMB COMICS
4438.jpg,186.jpg,The book named BILLY CRYSTAL
4438.jpg,187.jpg,The book named AN ACTOR
4438.jpg,188.jpg,The book named NOT THAT KIND
4438.jpg,189.jpg,The book named  PLAYBILL
130.jpg,190.jpg,The book about Andy Warhol
130.jpg,191.jpg,the magazine on the left of a book named Andy Warhol
130.jpg,192.jpg,a magazine about Jack Nicholson 
1599.jpg,193.jpg,The book named Rereadingamerica
1599.jpg,194.jpg,the book named The Basic Practice of Statistics
1599.jpg,195.jpg,The book named PSYCHOLOGY
1642.jpg,196.jpg,The building on the right of the OYO TOWNHOUSE
1430.jpg,197.jpg,Stores with the words Pita Land written on them
1430.jpg,198.jpg,Store with C2MMC characters written on it
1430.jpg,199.jpg,The first store to the left of the Pita Land
3836.jpg,200.jpg,The sink above the 022 label
3836.jpg,201.jpg,The sink on the right of the 022 label
4488.jpg,202.jpg,the sink nearest to FER  CHEVAL
4488.jpg,203.jpg,the sink farthest from FER  CHEVAL
4444.jpg,204.jpg,the tower block of HSBC
4444.jpg,205.jpg,The brown tallest building to the right of the HSBC
920.jpg,206.jpg,SMART Scissor on the far left
920.jpg,207.jpg,SMART brand Scissor in the middle
920.jpg,208.jpg,Elephant brand Scissors
920.jpg,209.jpg,Scotch brand Scissor on the left
920.jpg,210.jpg,the smart brand Scissor on the right
140.jpg,211.jpg,Count the scissors below the second '49' label from right to left
1599.jpg,212.jpg,the book named SOCIAL PSYCHOLOGY
4138.jpg,213.jpg,the book named MARGARET MARON
4138.jpg,214.jpg,the book titled DEVIL'S TEETH
1234.jpg,215.jpg,the book titled Poking a Dead Frog
1234.jpg,216.jpg,the book titled  THEFT BY FINDING DIARIES
1234.jpg,217.jpg,the book named NORA EPHRON book
1234.jpg,218.jpg,the book named I CAN'T MAKE THIS UP
1234.jpg,219.jpg,the book named I AM COMIC
901.jpg,220.jpg,the book named THEM
901.jpg,221.jpg,the book named SETH GODIN
140.jpg,222.jpg,blue scissors with red package under the 49 euro price tag
140.jpg,223.jpg,black scissors with white package under the 49 euro price tag
2364.jpg,224.jpg,scissors with white package under the 39 euro price tag
2364.jpg,225.jpg,orange scissors with pink package under the 50 euro price tag
2364.jpg,226.jpg,the first left black scissors with yellow package under the 29 euro price tag
2039.jpg,227.jpg,the second pick scissors from the right have pink labels
3760.jpg,228.jpg,white remote control with Wii text
1352.jpg,229.jpg,watch on the top of DAY DATE II tag
1504.jpg,230.jpg,the book named ABOUT TIME
901.jpg,231.jpg,the book named On Reading Well
901.jpg,232.jpg,the book named Tolkien
2796.jpg,233.jpg,the book named MIRACLE CREEK
2796.jpg,234.jpg,the book named RED WHITE ROYAL BLUE
2796.jpg,235.jpg,the book named LILAC GIRLS
2796.jpg,236.jpg,the book named THE ALICE NETWORK
2796.jpg,237.jpg,the book named Simple Wild
204.jpg,238.jpg,the book by Jennifer Weiner
204.jpg,239.jpg,the book named The Girl He Used Know
204.jpg,240.jpg,the book named RED WHITE ROYAL BLUE
2585.jpg,241.jpg,the book named AMY PEOHLER
2585.jpg,242.jpg,the book named NOT THAT KIND OF GIRL
2146.jpg,243.jpg,Game handle with Wii logo
